internship_id,title,company,location,description,skills,domain,job_type,source
1,Senior Automation Engineer - Power Systems,,,"senior automation / power system engineer primarily responsible conception , design , development , implementation electrical system . candidate extensive knowledge electrical power system , ac drive technology , active end ( afe ) system , plc programming experience . candidate possess ability apply mathematical engineering principle . detailed description : responsible design develop electrical system include : generator control , switchboards , ac dc drive , active end ( afe ) , motor control system , panel board component require function system accord customer specification.responsible power system simulation , analysis , engineering complex power system ( microgrid large utility)experience analyze harmonic corrective measure complex power systemsexperience specify , design , implement active end ( afe ) system multiple generator system ( non - utility feeds)experience analyze rationalize power system quality metric theoretical experimental approach ( theory match actual system performance – yes not?)experience designing , implement , commission multiple generator system isolated gridprovide continue support project completion field commission phone form troubleshooting person onsite require . job requirement : ability work independently team , manage multiple task work multiple project simultaneously meet challenge deadlines.demonstrate clear write verbal communication skill ability promptly , follow direction work others.safely navigate work site include regular walking , climbing , standing , stepping , etc . weather condition ( day / night , outdoor hot / cold weather).proficiently use ms office suite develop presentation , correspondence , report , schedule ( word , excel , power point , etc.).lift carry 50 pound independently walk uneven surfacesbend , stoop , kneel , twist , crawl occasionally visit field operational work areas.listen unusual noise signify equipment machinery problems.stay alert focus include occasional extend work periods.maintain spatial orientation awareness safely work environment moving object include overhead machinery.wear personal protective equipment ( ppe ) designate times.ability regularly travel need visit work site support business unit ; require extended travel remote location and/or overnight stay(s ) outside normal office area.ability work weekend hour need . minimum qualificationsdegree relate electrical engineering design5 + year prove experience electrical system ac / afe drive systems.experience standard field bus communication protocol . ( ethernet / ip , profibus , profinet , canbus , opc ua , etc.).experience autocad electrical . preferred qualification 7 + year prove experience electrical system design analysis.master level electrical engineering degreeproven experience vfd drive afe drive system preferably ge siemens.proven experience multiple generator power system design , simulation , analysis , commissioning , field supportproven experience equipment drilling , marine , mining industry . additional detail : work primarily climate control / office environment minimal safety / health hazard potential . employee regularly require sit , stand , walk occasional lifting ( overhead , waist level ) floor , bend frequent near vision use reading use computer , telephone office equipment . employee work emphasis safety , include coworker party , include wear require personal protective equipment ( ppe ) designate time . position require employee work shop environment field base location type weather condition typical area job locate , include dust , humidity , sleet , snow , rain , mud , cold , heat , wind , inclement weather . work condition position involve exposure vary outdoor condition , include environmental chemical , gas , noise , dampness , fume , radiation height .","engineering, design, development, communication, automation","tech, engineering",job,Kaggle
2,DISH Installation Technician - Field,,,"company summary dish , echostar company , reimagine future connectivity 40 year . business reach span satellite television service , live - streaming - demand programming smart home installation service , mobile plan product , build america smart network ™ . today , brand include echostar , hughe , dish tv , sling tv , boost infinite , boost mobile , dish wireless , ontech genmobile . department summary technician deliver tv smart home solution million customer . technician , train lead charge world - class customer experience , educate connect americans home visit . backbone organization ensure excellent customer experience . dedication customer experience pay : 2023 , dish earn j.d . power award # 1 overall customer satisfaction sixth year row . job duty responsibility ? guarantee promotion 6 month $ 1.00 hour pay increase ! performance incentive potential $ 6,400 year $ 9,100 follow year!paid training , pay time & pay holidays4 - day work week opportunity work overtimemedical , dental , vision life insurance package health saving accountfree dish tv programming value $ 114.99 / month home , plus deeply discount sling tv boost infinite phone plans401(k ) company match & employee stock purchasing program ( espp)tuition reimbursementdish - supply van , tool , uniform great benefit opportunity 400 current technician leadership start technician . grit tenacity , grow quickly dish ! performance base promotion include automatic 5 % pay increase level 2 10 % level 3 4 . ? field technician , represent dish customer ' home daily . build value simplify life dish install consult homeowner infinite smart home possibility . skill , experience requirement technician : aptitude build rapport quickly . want great time service clientsability work height , include ladder 40 foot , weather conditionsability lift 70 lbsa valid driver license state seek employment driving record meet dish safety standardtravel require salary range compensation : $ 19.75 / hour benefit versatile health perk new career opportunity , check benefit career website . employment contingent successful completion pre - employment screen , include drug test acceptable driving record . compensation list reflect combination hourly pay rate location pay differential . post minimum 3 day position fill .","leadership, installation","tech, business",job,Kaggle
3,Order Builder,,,"division : north alabama department : oxford warehouse loading work schedule : m - f 8 finish $ 34,457 annually love coca - cola united ? privately own operate 100 + year historical strength stabilitydedicate support internal career growth job training , learning opportunity career advancementexcellent total value benefit package include : week pay vacation yearcomprehensive medical preferred provider plan ( $ 35 physical copay ; $ 15 teladoc copay)dental , vision , flex spendingemployee assistance programcompany pay life insurance ( $ 50,000)additional optional insurance ( accident , critical illness , universal life , home & auto)paid maternity & paternity leavepaid holiday & sick time401(k ) match ( 50 % 6 % ; plus additional annual match 3%)exclusive employee discount ( cell phone , event ticket , gym membership , car buying , hotel , car rental , technology need more)competitive compensation fast pace environment promote healthy lifestylefor qualified candidate offer amazing cdl tuition program reimbursable $ 5250 cdl school tuition – ask recruiter detail job description material handler - loader responsible fill customer order ticket voice perform follow duty day look like fill order ticket accord set quotasorder fill manually walk use pallet jack and/or ride jacksidentify product description quantity remove product area carry staging areacheck accuracy pickinggeneral housekeepingcomplete daily power equipment inspection formread customer order , work order , shipping order , requisition determine item move , gather , distributedsort place material item pallet accord predetermine sequence size , type , product codemark material identify informationrecord amount material item receive distributedcount item distribution plant ensure conformance company standardsperform appropriate duty assign management need succeed minimum age 18 year oldpersonal protective equipment ( ppe ) require position compliance united safety policiesregular prompt attendance essential function jobability read , write speak englishability maintain neat professional appearance company guidelinesability maintain safety security company assetsability utilize company provide resource technologyless high school education ; 1 month related experience training ; equivalent combination education experienceforklift electric riding pallet jack experience preferredrepeatedly graspingcontinuous standing , walk , bending , kneeling , squatting , push , pull frequent lifting , carry , push , pull 50lbs.ability effectively adapt changeability demonstrate initiativeability work safely securelywillingness work weekend , holiday , flexible schedule require ccbcu equal opportunity employer minority / woman / veteran / disabled . veteran friendly .",management,"tech, business, education",job,Kaggle
4,"Mountain Multimedia Journalist, KMGH",,,"kmgh , e.w . scripps company abc affiliate denver , colorado look multimedia journalist live work colorado beautiful mountain community . entry - level position . role perfect truly love solo storytelling look right backdrop . ideal candidate curious meet new people find story important . job variety – cover challenge affordable housing ski community wildfire preparedness amazing outdoor recreation colorado offer . primarily work independently , opportunity visit denver newsroom collaborate train leadership colleague . team photojournalist break news . : receive assignment evaluate news lead news tip develop story ideas.gather verify factual information story interview , observation , research.organize material , determine slant emphasis , write story accord prescribe editorial style format standards.shoot video photo illustrate stories.edit , assist editing , video multimedia platforms.appear tv package reports.go live site event mobile broadcast unit.work cooperatively photographer assign story assigned.assist news producer prepare newscast.assist online staff prepare multimedia stories.report , write , capture quality visual content , edit produce story multiple platform deadline , internet digital channel . need : bachelor degree broadcast journalism related degree equivalent year experience.generally , 3 + year experience related field prefer . bring : computer literacy require , include newsroom computer systems.videography non - linear editing experience preferred.knowledge broadcast quality camera equipment.edit video final cut pro editing system , similar equipment.strong broadcast ap - style writing skills.proficient post content websites.self - motivated able work fast - pace deadline - drive environment.must able lift 50 pounds.valid driver license good driving record require . addition , proof insurance liability coverage require . compensation range : annual salary : $ 80,000.00 - $ 85,000 pursuant state local salary transparency law , salary range post specific candidate perform work colorado . offer ( additional benefit ): career path grow professional experiencesfull medical , dental vision benefit , certain health wellness benefitsretirement saving plan company matchother key company benefit include disability accident insurance , hospital indemnity , critical illness , life insurance , ad&d , d protection , pet discount program , employee assistance program . detail timing condition benefit eligibility plan term condition provide hire . current scripps employee , apply site . access internal career site worklife > info > view open position scripp . scripp ' commitment equity , diversity inclusion : scripps , commit diverse inclusive culture reflect community serve . intentional create environment employee , audience stakeholder feel value inspire reach potential authentic connection . foster workplace culture embrace person diversity , include extent similar different . scripps leader believe equitable inclusive culture right thing , business imperative . read commitment equity , diversity inclusion scripps.com . scripp : e.w . scripps company ( nasdaq : ssp ) diversified medium company focus create well - inform world . nation large local tv broadcaster , scripp serve community quality , objective local journalism operate portfolio 60 station 40 + market . scripps reach household u.s . national news outlet scripps news court tv popular entertainment brand ion , bounce , defy tv , grit , ion mystery laff . scripps nation large holder broadcast spectrum . scripps longtime steward scripps national spelling bee . found 1878 , scripps ' long - time motto : "" light people find way . "" equal employment opportunity employer , e.w . scripps company affiliate discriminate employment decision basis race , sex , sexual orientation , transgender status , gender , color , religion , age , genetic information , medical condition , disability , marital status , citizenship national origin , military membership veteran status , basis violation applicable federal , state local law . furthermore , company reasonable accommodation qualified individual know disability result undue hardship company .","aws, leadership","tech, business",job,Kaggle
5,Licensed Practical Nurse (LPN),,,"come flexibility , stay culture need ' life ' work - life balance ? apply talent network today ! bayada offer lpns careflexible scheduling base preferencesweekly paypreventive care coverage employee ( prn included)ptoshort commute time – match case nearest youmedical , dental , vision benefitscompany - pay life insuranceemployee assistance program401kcareer advancement training bayada home health care found principle health care get well client well care home — place want . deliver care high priority great joy . prepare lpns success pay training day 1 office , home , onlinepractice award - win adult pediatric simulation labsaround clock clinical support phoneelectronic charting alayacare care client age , diagnosis , acuity level . offer multitude pay training nurse feel comfortable competent shift . available lpn shift 8 , 10 12 hour shifts1st , 2nd 3rd shiftweekday weekend requirement current valid nursing license u.s.graduation qualified nursing program pay : [ $ 30- $ 35 hour ] apply join team ! ner - nj - rx accredit , regulate , certify , license home health care provider , bayada complie state / local mandate . bayada home health care , inc . , associate entity joint venture partner , equal opportunity employer . employment decision non - discriminatory basis regard sex , race , color , age , disability , pregnancy maternity , sexual orientation , gender identity , citizenship status , military status , similarly protect status accordance federal , state local law . , strongly encourage application people identity member marginalized community .",aws,tech,job,Kaggle
6,Human Resources Project Manager,,,"hybrid roleonsite : require work onsite office 1 - 2 day / week ( 5 day / week busy period / june)hours week : 30 - 40 hour depend workload have : 5 + yoe hr project management smartsheet , similar tool create hr training program create hr communication enterprise organization work confidential information skill / experience require : experience hr project management experience manage complex employee event ability work senior leader ability work highly confidential information description : provide hr project management operating model transformation , include employee event , new team formation , engagement leader provide project management hr business partner staff support optimize operating model transformation develop maintain project documentation , include project plan , status report , issue log , change control documentation . development material support change management , learning & development , teaming , onboarde manage project risk issue , develop mitigation strategy ensure project success . conduct regular meeting project team provide update project status , discuss challenge , recommendation improvement . manage stakeholder expectation provide guidance advice project duration . foster maintain good relationship hr colleague ensure process maintain support follow project completion . related duty assign nice have : shrm - cp certificationpmp certification","management, development, communication",business,job,Kaggle
7,Clinical Paramedic,,,"exciting career await mpc , committed great place work – welcome new idea , encourage diverse perspective , develop people , foster collaborative team environment . position summary : marathon petroleum co. seek paramedic administer , organize , coordinate provide occupational health service employee . boundary state authorize ems certify provider scope practice company policy , guideline protocol . position provide service marathon petroleum employee contractor garyville la refinery occupational health clinic . key responsibility : provide onsite evaluation illness / injury include follow - care collaboration registered nurse , advanced practice clinician collaborate medical doctor , base initial complaint exam finding employee contractor , allow paramedic scope practice.develop maintain relationship workforce large foster trust encourage report injuries.assist aspect patient care support total worker health wellbeing include illness / injury evaluation , osha mandate medical surveillance exam , drug alcohol speciman collection , blood speciman collections.provide administrative support include answer phone , maintain clinic schedule , order supply , maintain clinic inventory directed.provide onsite training / education emergency medical response topic include cpr , aid , aed , hf acid exposure ( applicable).act sme emergency medical response local emergency response team.provide routine emergent medical response incident include afterhours provide staffing support / afterhours coverage project , outage , turnaround ( tar).maintain understanding current health regulation , osha exam requirement , treatment guideline common exposures.maintain health insurance portability accountability act ( hipaa ) compliance promote professional , customer - focus , collaborative environment . education experience : high school diploma ge equivalent ; active & unencumbered paramedic license and/or national certification require state employment practice.minimum 3 - 5 year ' experience paramedic;1 - 2 year ' experience occupational health setting desire certification drug collection breath alcohol testing spirometry desired.certification aid cpr / aedfamiliar state federal requirement relate practice include osha , dot , ada , hipaa , fmla , worker ’ compensation possess valid driver licensemust able pass drug test background check skill : blood work / venipuncture competenceable prioritize , multi - task , flexible strong problem solve , analytical skill , attention detail ability speak clearly effectively variety setting interaction employee , patient , provider , colleague ability use tact diplomacy appropriate situation maintain effective work relationship level colleague excellent customer service skill physical requirement : perform duty job , employee frequently require sit . employee regularly require stand ; walk ; reach hand arm ; stoop , kneel , crouch , crawl ; talk hear . employee occasionally lift and/or 30 pound . specific vision ability require job include close vision . worker require visual acuity capable operate view computer electronic device extended period time . working condition : environment fast - pace , deadline - orient medical office environment . access confidential sensitive information , require ongoing discretion secure information management paper electronic form . medical department locate secure petroleum refinery . travel expect : 10 % travel expect . energy industry leader , career opportunity fuel personal professional growth . location : garyville , louisiana additional location : job requisition d : 00011542 location address : hwy # 61 marathon ave education : high school ( require ) employee group : time employee subgroup : regular marathon petroleum company lp equal opportunity employer give consideration employment qualified applicant discrimination basis race , color , religion , creed , sex , gender ( include pregnancy , childbirth , breastfeed relate medical condition ) , sexual orientation , gender identity , gender expression , reproductive health decision - making , age , mental physical disability , medical condition aid / hiv status , ancestry , national origin , genetic information , military , veteran status , marital status , citizenship status protect applicable federal , state , local law . like information eeo right applicant , click . need reasonable accommodation application process marathon petroleum lp , contact human resource department talentacquisition@marathonpetroleum.com . specify reasonable accommodation request , job post number interested . human resource representative review request contact discuss reasonable accommodation . marathon petroleum offer total reward program include , limit , access health , vision , dental insurance , pay time , 401k matching program , pay parental leave , educational reimbursement . detailed benefit information available https://mympcbenefits.com.the hire candidate eligible discretionary company - sponsor annual bonus program . equal opportunity employer : veteran / disability","aws, management","education, tech, business",job,Kaggle
8,CCTV/Access Control Installer (regional travel),,,"want learn role jobot ? click jobot logo follow linkedin page ! job detail regional electronic security integrator seek low voltage technicians- cctv video surveillance access control alarm jobot job host nick lanska fit ? easy apply click "" easy apply "" button send resume . salary $ 35 - $ 40 hour bit position perform task involve installation electronic security system include alarm system , camera digital video recorder , access control system . training provide specific product offer join ? offer competitive salary , complete benefit package , 401(k ) , tuition reimbursement . job detail 2 + year cctv / video surveillance / alarm- electronic security experience open travel time week self starter- work pass background check dmp / lenel / bosch / honeywell / verint / march network / hanwha interested hear ? easy apply click "" easy apply "" button . want learn role jobot ? click jobot logo follow linkedin page !",installation,tech,job,Kaggle
9,Java Architect,,,"we?first derivative ( fd ) lead software service company , world - lead intellectual property ultra - high - performance analytic ( kx ) industry , extensive domain expertise capability capital market system technology ( manage service consulting ) . java architect : · 15 + year strong proficiency oops concept java knowledge restful apis architecture . · min . 8 year experience spring boot , spring security , spring datum , spring mvc unit testing , integration testing bdd testing . · rdbms knowledge and/or exposure ms sql server database . · author technical documentation communicate clear detailed fashion propose technical solution . · experience performance analysis application tuning . · excellent understanding design pattern microservice architecture . · hand experience enterprise integration pattern ( eip ) ; exposure apache camel spring integration consider plus . · hand experience kubernete exposure - sql database consider plus . kx technology design capture analyze datum real - time decision world datum volume generate market machine increase exponentially , exist technology fail technological commercial limitation . kx widely adopt financial industry , poise accelerated growth high - tech manufacturing , automotive , oil gas , utility telecommunication . manage service consultingfd provide range service worldwide client capital market sector , include world lead bank , focus support mission - critical system help achieve maintain regulatory compliance . fd provide equal employment opportunity employee applicant employment prohibit discrimination harassment type regard race , color , religion , age , sex , national origin , disability status , genetic , protect veteran status , sexual orientation , gender identity expression , characteristic protect federal , state local law .","aws, kubernetes, sql, java, design, software, communication, technical","tech, manufacturing",job,Kaggle
10,Laboratory Operations (LabOps) Project Manager,,,"job description target pr range : 62 - 72 / hr depend experience laboratory operation ( labop ) project manager labops project manager oversee project pertain purchase , installation , qualification new analytical instrumentation , equipment , software . individual work project team consist cross - functional team member metrology , validation , quality control , analytical , quality assurance , facility operation ensure efficient completion laboratory - base project . additional project include process - improvement relate lab function . job responsibility manage laboratory operation project : include installation new analytical instrument equipment , new software , relocation , process improvement work closely quality control ( qc ) analytical development operation ( ado ) personnel determine laboratory need user requirement ensure timely procurement purchase obtain review quote , facilitate wos pos , follow - shipping & delivery status facilitate demonstration new laboratory system need team - facility operation site planning preparation instrument installation , include site assessment communicate engineering / utility requirement collaborate validation team member qualification activity gmp system review document pertain system implementation , include installation requirement , protocol , procedure , work instruction , guideline produce critical project documentation , include timeline microsoft project , project charter , wb , team communication , status update e - mail , powerpoint presentation , lesson learn , etc . communicate project requirement , goal , timeline effectively weekly project team meeting assist key project decision make effort present project summary status update large group powerpoint verbal communication organize meeting vendor vendor service team need apply knowledge current good manufacturing practice ( cgmp ) concept applicable planet group company equal opportunity employer . celebrate diversity commit create inclusive environment employee .","engineering, software, development, communication, installation","engineering, manufacturing",job,Kaggle
